Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2016-8610,CVE-2017-14132,CVE-2017-3652,CVE-2017-3652,368,574,,,,,,
CVE-2016-8615,CVE-2017-14140,CVE-2017-3653,CVE-2017-3653,#N/A,575,,,,,,
CVE-2016-8615,CVE-2017-14156,CVE-2017-3731,CVE-2017-3731,#N/A,576,,,,,,
CVE-2016-8616,CVE-2017-14159,CVE-2017-3735,CVE-2017-3735,369,577,,,,,,
CVE-2016-8616,CVE-2017-14160,CVE-2017-5029,CVE-2017-5029,370,578,,,,,,
CVE-2016-8617,CVE-2017-14229,CVE-2017-5225,CVE-2017-5225,371,579,,,,,,
CVE-2016-8617,CVE-2017-14333,CVE-2017-5335,CVE-2017-5335,372,580,,,,,,
CVE-2016-8618,CVE-2017-14340,CVE-2017-5336,CVE-2017-5336,#N/A,581,,,,,,
CVE-2016-8618,CVE-2017-14489,CVE-2017-5337,CVE-2017-5337,#N/A,582,,,,,,
CVE-2016-8619,CVE-2017-14632,CVE-2017-5504,CVE-2017-5504,373,583,,,,,,
CVE-2016-8619,CVE-2017-14633,CVE-2017-5563,CVE-2017-5563,374,587,,,,,,
CVE-2016-8620,CVE-2017-14952,CVE-2017-5837,CVE-2017-5837,375,592,,,,,,
CVE-2016-8620,CVE-2017-14991,CVE-2017-5838,CVE-2017-5838,#N/A,593,,,,,,
CVE-2016-8621,CVE-2017-15018,CVE-2017-5839,CVE-2017-5839,376,594,,,,,,
CVE-2016-8621,CVE-2017-15019,CVE-2017-5840,CVE-2017-5840,377,595,,,,,,
CVE-2016-8622,CVE-2017-15045,CVE-2017-5842,CVE-2017-5842,378,596,,,,,,
CVE-2016-8622,CVE-2017-15046,CVE-2017-5844,CVE-2017-5844,379,597,,,,,,
CVE-2016-8623,CVE-2017-15098,CVE-2017-5953,CVE-2017-5953,380,599,,,,,,
CVE-2016-8623,CVE-2017-15102,CVE-2017-6311,CVE-2017-6311,#N/A,606,,,,,,
CVE-2016-8624,CVE-2017-15115,CVE-2017-6312,CVE-2017-6312,#N/A,607,,,,,,
CVE-2016-8624,CVE-2017-15116,CVE-2017-6313,CVE-2017-6313,#N/A,608,,,,,,
CVE-2016-8625,CVE-2017-15128,CVE-2017-6314,CVE-2017-6314,#N/A,609,,,,,,
CVE-2016-8625,CVE-2017-15232,CVE-2017-6349,CVE-2017-6349,#N/A,613,,,,,,
