[Nov 28 23:43:57] DEBUG [eager_aryabhata@172-17-0-1] Executing... dpkg-query -W -f="\${binary:Package},\${db:Status-Abbrev},\${Version},\${Source},\${source:Version}\n"
[Nov 28 23:43:59] DEBUG [eager_aryabhata@172-17-0-1] execResult: servername: eager_aryabhata@172-17-0-1
  cmd: /usr/bin/ssh -tt -o StrictHostKeyChecking=yes -o LogLevel=quiet -o ConnectionAttempts=3 -o ConnectTimeout=10 -o ControlMaster=auto -o ControlPath=/root/.vuls/controlmaster-%r-172-17-0-1.%p -o Controlpersist=10m cmcarthur@172.17.0.1 -p 22 stty cols 1000; docker exec --user 0 dfe4c5f7871e /bin/sh -c 'dpkg-query -W -f="\${binary:Package},\${db:Status-Abbrev},\${Version},\${Source},\${source:Version}\n"'
  
  eager_aryabhata@172-17-0-1 (ubuntu14.04) on 172-17-0-1
======================================================
Total: 713 (High:4 Medium:388 Low:254 ?:67), 0/713 Fixed, 537 installed, 35 cves with exploit

+------------------+------+----------+---------+---------------------------------------------------+---------+
|      CVE-ID      | CVSS |  ATTACK  |  FIXED  |                        NVD                        | EXPLOIT |
| CVE-2016-10094   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10094   | false   |
| CVE-2016-10164   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10164   | false   |
| CVE-2016-10166   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10166   | false   |
| CVE-2016-10167   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10167   | false   |
| CVE-2016-10168   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10168   | false   |
| CVE-2016-10244   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10244   | false   |
| CVE-2016-10249   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10249   | false   |
| CVE-2016-10250   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10250   | false   |
| CVE-2016-10251   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10251   | false   |
| CVE-2016-10271   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10271   | false   |
| CVE-2016-10328   |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-10328   | false   |
| CVE-2016-1248    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-1248    | false   |
| CVE-2016-1683    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-1683    | false   |
| CVE-2016-1684    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-1684    | false   |
| CVE-2016-1841    |  6.9 |          | Unknown | https://nvd.nist.gov/vuln/detail/CVE-2016-1841    | false   |
| CVE-2016-1897    |  6.9 |          | Unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-1897    | false   |
