Anchore Raw,Anchore Unique,Vuls Raw,Vuls Unique,Anchore to Vuls Matching,Vuls to Anchore Matching,Common Vulnerabilities,Anchore Unmatched,Vuls Unmatched,Total,Anchore Coverage,Vuls Coverage
CVE-2014-7947,CVE-2015-7995,CVE-2015-9262,CVE-2015-9262,42,#N/A,,,,,,
CVE-2014-8541,CVE-2015-8239,CVE-2015-9274,CVE-2015-9274,43,#N/A,,,,,,
CVE-2014-8541,CVE-2015-8270,CVE-2016-0634,CVE-2016-0634,44,82,,,,,,
CVE-2014-8541,CVE-2015-8271,CVE-2016-10087,CVE-2016-10087,45,83,,,,,,
CVE-2014-8541,CVE-2015-8272,CVE-2016-10169,CVE-2016-10169,46,85,,,,,,
CVE-2014-8625,CVE-2015-8553,CVE-2016-10198,CVE-2016-10198,#N/A,88,,,,,,
CVE-2014-8625,CVE-2015-8629,CVE-2016-10199,CVE-2016-10199,47,89,,,,,,
CVE-2014-8625,CVE-2015-8630,CVE-2016-10228,CVE-2016-10228,48,91,,,,,,
CVE-2014-8991,CVE-2015-8631,CVE-2016-10244,CVE-2016-10244,49,92,,,,,,
CVE-2014-9092,CVE-2015-8839,CVE-2016-10248,CVE-2016-10248,#N/A,93,,,,,,
CVE-2014-9114,CVE-2015-8853,CVE-2016-10249,CVE-2016-10249,50,94,,,,,,
CVE-2014-9114,CVE-2015-8952,CVE-2016-10250,CVE-2016-10250,#N/A,#N/A,,,,,,
CVE-2014-9114,CVE-2015-8970,CVE-2016-10251,CVE-2016-10251,#N/A,95,,,,,,
CVE-2014-9114,CVE-2015-8982,CVE-2016-10254,CVE-2016-10254,52,96,,,,,,
CVE-2014-9114,CVE-2015-8983,CVE-2016-10255,CVE-2016-10255,53,97,,,,,,
CVE-2014-9474,CVE-2015-8984,CVE-2016-10266,CVE-2016-10266,54,98,,,,,,
CVE-2014-9645,CVE-2015-8985,CVE-2016-10267,CVE-2016-10267,55,99,,,,,,
CVE-2014-9676,CVE-2015-9016,CVE-2016-10268,CVE-2016-10268,#N/A,100,,,,,,
CVE-2014-9676,CVE-2015-9019,CVE-2016-10269,CVE-2016-10269,56,101,,,,,,
CVE-2014-9676,CVE-2015-9099,CVE-2016-10328,CVE-2016-10328,57,102,,,,,,
CVE-2014-9676,CVE-2015-9100,CVE-2016-10371,CVE-2016-10371,58,103,,,,,,
CVE-2014-9761,CVE-2015-9101,CVE-2016-10713,CVE-2016-10713,59,104,,,,,,
CVE-2014-9761,CVE-2016-0634,CVE-2016-1234,CVE-2016-1234,62,105,,,,,,
CVE-2014-9761,CVE-2016-10087,CVE-2016-1683,CVE-2016-1683,63,106,,,,,,
CVE-2014-9761,CVE-2016-10147,CVE-2016-1684,CVE-2016-1684,#N/A,107,,,,,,
CVE-2014-9761,CVE-2016-10169,CVE-2016-1841,CVE-2016-1841,64,108,,,,,,
CVE-2014-9939,CVE-2016-10190,CVE-2016-1867,CVE-2016-1867,#N/A,109,,,,,,
CVE-2014-9984,CVE-2016-10192,CVE-2016-1897,CVE-2016-1897,#N/A,#N/A,,,,,,
CVE-2014-9984,CVE-2016-10198,CVE-2016-1898,CVE-2016-1898,65,#N/A,,,,,,
CVE-2014-9984,CVE-2016-10199,CVE-2016-2086,CVE-2016-2086,66,#N/A,,,,,,
CVE-2014-9984,CVE-2016-10208,CVE-2016-2089,CVE-2016-2089,#N/A,110,,,,,,
CVE-2014-9984,CVE-2016-10228,CVE-2016-2090,CVE-2016-2090,67,111,,,,,,
CVE-2015-1273,CVE-2016-10244,CVE-2016-2147,CVE-2016-2147,68,112,,,,,,
CVE-2015-1350,CVE-2016-10248,CVE-2016-2148,CVE-2016-2148,69,113,,,,,,
CVE-2015-1872,CVE-2016-10249,CVE-2016-2216,CVE-2016-2216,70,#N/A,,,,,,
CVE-2015-1872,CVE-2016-10251,CVE-2016-2226,CVE-2016-2226,72,114,,,,,,
CVE-2015-1872,CVE-2016-10254,CVE-2016-2326,CVE-2016-2326,73,#N/A,,,,,,
CVE-2015-1872,CVE-2016-10255,CVE-2016-2774,CVE-2016-2774,74,115,,,,,,
CVE-2015-2296,CVE-2016-10266,CVE-2016-2781,CVE-2016-2781,75,116,,,,,,
CVE-2015-2877,CVE-2016-10267,CVE-2016-3062,CVE-2016-3062,76,#N/A,,,,,,
CVE-2015-3395,CVE-2016-10268,CVE-2016-3119,CVE-2016-3119,77,117,,,,,,
CVE-2015-3395,CVE-2016-10269,CVE-2016-3120,CVE-2016-3120,78,118,,,,,,
CVE-2015-3395,CVE-2016-10328,CVE-2016-3186,CVE-2016-3186,79,119,,,,,,
CVE-2015-3395,CVE-2016-10371,CVE-2016-3189,CVE-2016-3189,80,120,,,,,,
CVE-2015-3417,CVE-2016-10713,CVE-2016-3190,CVE-2016-3190,81,121,,,,,,
CVE-2015-3417,CVE-2016-1234,CVE-2016-3616,CVE-2016-3616,82,122,,,,,,
CVE-2015-3417,CVE-2016-1683,CVE-2016-3706,CVE-2016-3706,83,124,,,,,,
CVE-2015-3417,CVE-2016-1684,CVE-2016-4330,CVE-2016-4330,84,#N/A,,,,,,
