2018-11-21 07:00:04+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] image dequeued for analysis: admin : sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:00:04+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/perform_analyze_nodocker()] [INFO] performing analysis on image: ['admin', 'docker.io/mcin/docker-fsl@sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb', 'docker.io/mcin/docker-fsl:latest']
2018-11-21 07:18:44+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/perform_analyze_nodocker()] [INFO] performing analysis on image complete: docker.io/mcin/docker-fsl@sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:18:59+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] Loading image into policy engine: admin 095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb
2018-11-21 07:19:53+0000 [-] [Thread-7312] [anchore_engine.services.analyzer/process_analyzer_job()] [INFO] analysis complete: admin : sha256:095059aea79eba45f9c9e422ac9641ceee7a1b159ad6bb5f8c4f6bdc13463deb

anchore-cli image vuln mcin/docker-fsl all
Vulnerability ID        Package                                       Severity        Fix                        Vulnerability URL
RHSA-2017:1365          nss-3.21.0-9.el7_2                            High            0:3.28.4-1.2.el7_3         https://access.redhat.com/errata/RHSA-2017:1365
RHSA-2017:1365          nss-sysinit-3.21.0-9.el7_2                    High            0:3.28.4-1.2.el7_3         https://access.redhat.com/errata/RHSA-2017:1365
RHSA-2017:1365          nss-tools-3.21.0-9.el7_2                      High            0:3.28.4-1.2.el7_3         https://access.redhat.com/errata/RHSA-2017:1365
RHSA-2017:1481          glibc-2.17-106.el7_2.6                        High            0:2.17-157.el7_3.4         https://access.redhat.com/errata/RHSA-2017:1481
RHSA-2017:1481          glibc-common-2.17-106.el7_2.6                 High            0:2.17-157.el7_3.4         https://access.redhat.com/errata/RHSA-2017:1481
RHSA-2017:1680          bind-license-9.9.4-29.el7_2.3                 High            32:9.9.4-50.el7_3.1        https://access.redhat.com/errata/RHSA-2017:1680
RHSA-2017:2832          nss-3.21.0-9.el7_2                            High            0:3.28.4-12.el7_4          https://access.redhat.com/errata/RHSA-2017:2832
RHSA-2017:2832          nss-sysinit-3.21.0-9.el7_2                    High            0:3.28.4-12.el7_4          https://access.redhat.com/errata/RHSA-2017:2832
RHSA-2017:2832          nss-tools-3.21.0-9.el7_2                      High            0:3.28.4-12.el7_4          https://access.redhat.com/errata/RHSA-2017:2832
RHSA-2018:0102          bind-license-9.9.4-29.el7_2.3                 High            32:9.9.4-51.el7_4.2        https://access.redhat.com/errata/RHSA-2018:0102
RHSA-2018:1700          procps-ng-3.3.10-5.el7_2                      High            0:3.3.10-17.el7_5.2        https://access.redhat.com/errata/RHSA-2018:1700
RHSA-2018:2181          gnupg2-2.0.22-3.el7                           High            0:2.0.22-5.el7_5           https://access.redhat.com/errata/RHSA-2018:2181
RHSA-2018:2285          yum-plugin-fastestmirror-1.1.31-34.el7        High            0:1.1.31-46.el7_5          https://access.redhat.com/errata/RHSA-2018:2285
