Package, version,Depends
fsl-bangor-cerebellar-atlas,    5.0.7-2,        ""
fsl-core,       5.0.9-3~nd14.04+1,      "fsl-5.0-core"
fsl-harvard-oxford-atlases,     5.0.7-2,        ""
fsl-harvard-oxford-cortical-lateralized-atlas,  5.0.7-2,        "fsl-harvard-oxford-atlases"
fsl-jhu-dti-whitematter-atlas,  5.0.7-2,        ""
fsl-juelich-histological-atlas, 5.0.7-2,        ""
fsl-mni-structural-atlas,       5.0.7-2,        ""
fsl-mni152-templates,   5.0.7-2,        ""
fsl-oxford-striatal-atlas,      5.0.7-2,        ""
fsl-oxford-thalamic-connectivity-atlas, 5.0.7-2,        ""
fsl-resting-connectivity-parcellation-atlases,  5.0.7-2,        ""
fsl-subthalamic-nucleus-atlas,  5.0.7-2,        ""
fsl-talairach-daemon-atlas,     5.0.7-2,        ""
fslview,        4.0.1-7~nd14.04+1,      "neurodebian-popularity-contest, libc6 (>= 2.4), libgcc1 (>= 1:4.1.1), libnewmat10ldbl, libnifti2, libqt4-qt3support (>= 4:4.5.3), libqt4-xml (>= 4:4.5.3), libqtcore4 (>= 4:4.7.0~beta1), libqtgui4 (>= 4:4.7.0~beta1), libqwt5-qt4, libstdc++6 (>= 4.6), libvtk5.8, libvtk5.8-qt4"
fslview-doc,    4.0.1-7~nd14.04+1,      "neurodebian-popularity-contest"
g++,    4:4.8.2-1ubuntu6,       "cpp (>= 4:4.8.2-1ubuntu6), gcc (>= 4:4.8.2-1ubuntu6), g++-4.8 (>= 4.8.2-5~), gcc-4.8 (>= 4.8.2-5~)"
g++-4.8,        4.8.4-2ubuntu1~14.04.3, "gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), gcc-4.8 (= 4.8.4-2ubuntu1~14.04.3), libstdc++-4.8-dev (= 4.8.4-2ubuntu1~14.04.3), libc6 (>= 2.14), libcloog-isl4 (>= 0.17), libgmp10, libisl10 (>= 0.10), libmpc3, libmpfr4 (>= 3.1.2), zlib1g (>= 1:1.1.4)"
gcc,    4:4.8.2-1ubuntu6,       "cpp (>= 4:4.8.2-1ubuntu6), gcc-4.8 (>= 4.8.2-5~)"
gcc-4.8,        4.8.4-2ubuntu1~14.04.3, "cpp-4.8 (= 4.8.4-2ubuntu1~14.04.3), gcc-4.8-base (= 4.8.4-2ubuntu1~14.04.3), binutils (>= 2.24), libgcc-4.8-dev (>= 4.8.4-2ubuntu1~14.04.3), libc6 (>= 2.14), libcloog-isl4 (>= 0.17), libgmp10, libisl10 (>= 0.10), libmpc3, libmpfr4 (>= 3.1.2), zlib1g (>= 1:1.1.4)"
gcc-4.8-base,   4.8.4-2ubuntu1~14.04.3, ""
gcc-4.9-base,   4.9.3-0ubuntu4, ""
glib-networking,        2.40.0-1ubuntu0.1,      "libc6 (>= 2.14), libglib2.0-0 (>= 2.39.4), libgnutls26 (>= 2.12.17-0), libp11-kit0 (>= 0.11), libproxy1 (>= 0.4.7), glib-networking-services (>= 2.40.0-1ubuntu0.1), glib-networking-services (<< 2.40.0-1ubuntu0.1.1~), glib-networking-common (= 2.40.0-1ubuntu0.1), gsettings-desktop-schemas"
glib-networking-common, 2.40.0-1ubuntu0.1,      ""
